Url, News_Title ,Author,Publish date,Category, Body Stracture , Stracture_Summary,Image of the news ,site
https://islamonline.net/en/home/,"Lessons from the Ascension of the Prophet", Compiled by Ahmed El Azhary ** , None ,sharia, body --> main --> section --> div --> div --> div --> div --> div --> div  ,"The Prophet (Pbuh) saw examples of people of Hellfire and different ways of their punishment when he was ascending through the heavens." ,https://islamonline.net/wp-content/uploads/2022/02/sky-and-the-glowing-sun-489x275.jpg , https://islamonline.net/en/lessons-from-the-ascension-of-the-prophet/
https://islamonline.net/en/home/,"The Prophet’s Night Journey",None , None , About Muhammad , body --> main --> section --> div --> div --> div --> div --> div --> div , None , https://islamonline.net/wp-content/uploads/2022/02/sky-and-the-glowing-sun-320x180.jpg , https://islamonline.net/en/the-prophets-night-journey/
https://islamonline.net/en/home/,"Israa’ and Mi`raj A Miraculous Journey" , None , None , sharia , body --> main --> section --> div --> div --> div --> div --> div --> div , None ,https://islamonline.net/wp-content/uploads/2022/02/al-aqsa-holy-masjid-320x180.jpg , https://islamonline.net/en/israa-and-miraj-a-miraculous-journey/
https://islamonline.net/en/home/,"Al-Israa’ and Al-Mi`raj: Everlasting Lessons",By Dr. Yusuf Al-Qaradawi ,None ,About Muhammad, body --> main --> section --> div --> div --> div --> div --> div --> div,None,https://islamonline.net/wp-content/uploads/2021/09/Al-Aqsa-Mosque-1-320x180.jpg , https://islamonline.net/en/al-israa-and-al-miraj-everlasting-lessons/
https://islamonline.net/en/home/, "Lessons to Learn from the Blessed Occasion" ,By Dr. Sano Moustapha, None,About Muhammad , body --> main --> section --> div --> div --> div --> div --> div --> div,None , https://islamonline.net/wp-content/uploads/2022/02/Islamic-decoration-background-320x180.jpg , https://islamonline.net/en/lessons-to-learn-from-the-blessed-occasion/
https://islamonline.net/en/home/, "Toward a Better Future For Those Who Reflect" ,By Sarah Joseph, None,sharia , body --> main --> div --> section --> div --> div --> div --> div --> div --> div --> div --> a , "Richard Dawkins said of religion: “I am against religion because it teaches us to be satisfied with not understanding the world.” Others think the same as Dawkins. And there are times when I meet some ‘religious’ people and almost sympathize with the Oxford academic. Too many people hide behind religion in order not to think" ,  https://islamonline.net/wp-content/uploads/2023/01/Better-Future-.jpg , https://islamonline.net/en/toward-a-better-future-for-those-who-reflect/ 
https://islamonline.net/en/home/,"Tranquility of the Heart Earning His Love ",By Jinan Bastaki,None,sharia, body --> main --> div --> section --> div --> div --> div --> div --> div --> div --> div --> a ,None , https://islamonline.net/wp-content/uploads/2023/01/Tranquility-Earning-Love-320x180.jpg , https://islamonline.net/en/tranquility-of-the-heart-earning-his-love/
https://islamonline.net/en/home/,"Tranquility of the Heart Allah is with the Patient" ,By Jinan Bastaki, None , sharia , body --> main --> div --> section --> div --> div --> div --> div --> div --> div --> div --> a  , None , https://islamonline.net/wp-content/uploads/2023/01/tranquility-patience--320x180.jpg , https://islamonline.net/en/tranquility-of-the-heart-allah-is-with-the-patient/
https://islamonline.net/en/home/, "For a Blessed and Happy Muslim Life: Love Is in the Air " ,By Yasmin Mogahed,None,sharia , body --> main --> div --> section --> div --> div --> div --> div --> div --> div --> div --> a, None, https://islamonline.net/wp-content/uploads/2023/01/love-in-the-air-320x180.jpg , https://islamonline.net/en/for-a-blessed-and-happy-muslim-life-love-is-in-the-air/
https://islamonline.net/en/home/, "Toward Understanding Islam: The Purpose of Life in Light of the Qur’an" , By Ahsan Shah, None,sharia , body --> main --> div --> section --> div --> div --> div --> div --> div --> div --> div --> a ,None, https://islamonline.net/wp-content/uploads/2022/08/The-Purpose-of-life--320x180.jpg , https://islamonline.net/en/toward-understanding-islam-the-purpose-of-life-in-light-of-the-quran/
https://islamonline.net/en/home/, "The Only Shelter in the Storm" ,By Yasmin Mogahed,None,sharia , body --> main --> div --> section --> div --> div --> div --> div --> div --> div --> div --> a ,None , https://islamonline.net/wp-content/uploads/2023/02/Tawheed-Oneness-of-God-320x180.jpg , https://islamonline.net/en/the-only-shelter-in-the-storm/
https://islamonline.net/en/home/,"Inspired by the Prophet’s Manners: The Prophet’s Kindness Towards People of the Book" ,None , None ,About Muhammad, body --> main --> div --> section --> div --> div --> div --> div --> div --> div --> div --> a , " Very rarely we hear positive stories of inter-religious affairs in the news nowadays. It is becoming a cultural trend that conflict and controversy drive the propaganda for the media, fuelled by politicized “religions,” and even more so between the religions of the people of the Book and Islam. Very rare is the positive coverage between ", https://islamonline.net/wp-content/uploads/2022/09/Prophet-Muhammed-Holy-Mosque.jpg , https://islamonline.net/en/inspired-by-prophet-muhammads-life-reverts-do-you-love-prophet-muhammad/ 
https://islamonline.net/en/home/, "Focus on the Early History of Islam: A Refreshing Look at the Seerah (Introduction)",By Faysal Burhan , None , About Muhammad , body --> main --> div --> section --> div --> div --> div --> div --> div --> div --> div --> a ,None, https://islamonline.net/wp-content/uploads/2023/01/Islam-early-history--320x180.jpg , https://islamonline.net/en/focus-on-the-early-history-of-islam-a-refreshing-look-at-the-seerah-introduction/
https://islamonline.net/en/home/, "And surely your Lord will give so much to you that you will be pleased" ,None , None ,About Muhammad , body --> main --> div --> section --> div --> div --> div --> div --> div --> div --> div --> a ,None , https://islamonline.net/wp-content/uploads/2021/06/ولسوف-يعطيك-ربك-فترضى-320x180.jpg , https://islamonline.net/en/and-%CB%B9surely%CB%BA-your-lord-will-give-so-much-to-you-that-you-will-be-pleased-%EF%BF%BC/ 
https://islamonline.net/en/home/, "Inspired by the Prophet’s Manners: How Prophet Muhammad Resolved Disputes" ,By Sadaf Farooqi, None ,About Muhammad , body --> main --> div --> section --> div --> div --> div --> div --> div --> div --> div --> a , None, https://islamonline.net/wp-content/uploads/2022/09/Muhammad-Dispute-resolved-320x180.jpg , https://islamonline.net/en/how-prophet-muhammad-resolved-disputes/
https://islamonline.net/en/home/, "The Wise Leader Nation and Nationhood: What Would Muhammad Do?" , By Sariya Contractor , None ,About Muhammad , body --> main --> div --> section --> div --> div --> div --> div --> div --> div --> div --> a , None , https://islamonline.net/wp-content/uploads/2022/06/Pilgrimage-to-Makkah-320x180.jpg , https://islamonline.net/en/nation-and-nationhood-what-would-muhammad-do-part-1/
https://islamonline.net/en/home/, "The smile of the Prophet (Pbuh).. facts and secrets" ,None , None , About Muhammad , body --> main --> div --> section --> div --> div --> div --> div --> div --> div --> div --> a , None , https://islamonline.net/wp-content/uploads/2021/06/المسجد-النبوي-1-320x180.jpg , https://islamonline.net/en/the-smile-of-the-prophet-pbuh-facts-and-secrets/
https://islamonline.net/en/home/, "Inspired by the Prophet’s Character The Prophet of Mercy: A Word Picture" , By Haya Muhammad Eid, None,About Muhammad , body --> main --> div --> section --> div --> div --> div --> div --> div --> div --> div --> a , None, https://islamonline.net/wp-content/uploads/2022/10/Mohammed-and-humanity--320x180.jpg , https://islamonline.net/en/the-prophet-of-mercy-a-word-picture/
https://islamonline.net/en/home/, "Inspired by Prophet Muhammad’s Life.. Reverts Do You Love Prophet Muhammad?" ,  By Diva Allott , None , Discover Islam , body --> main --> div --> section --> div --> div --> div --> div --> div --> div --> div --> a ,"I firmly believe that the love a born Muslim feels for Prophet Muhammad is vastly different to that which a revert feels, at least at the beginning of their journey as a Muslim.", https://islamonline.net/wp-content/uploads/2023/01/Prophet-Muhammad-Reverts-love.jpg , https://islamonline.net/en/inspired-by-prophet-muhammads-life-reverts-do-you-love-prophet-muhammad/ 
https://islamonline.net/en/home/, "Toward Moral Elevation The Search for a Living Islam" , By Abu Muntasir , None , Discover Islam , body --> main --> div --> section --> div --> div --> div --> div --> div --> div --> div --> a , None , https://islamonline.net/wp-content/uploads/2022/08/Moral-Islam-320x180.jpg , https://islamonline.net/en/toward-moral-elevation-the-search-for-a-living-islam/ 
https://islamonline.net/en/home/, "Toward Understanding Islam & Muslims Check Your Bag Before You Leave!" ,By Fouzia Hakkou,None, Discover Islam, body --> main --> div --> section --> div --> div --> div --> div --> div --> div --> div --> a , None , https://islamonline.net/wp-content/uploads/2022/09/Life-journey-Muslim-320x180.jpg , https://islamonline.net/en/toward-understanding-islam-muslims-check-your-bag-before-you-leave/
https://islamonline.net/en/home/, "The Story of Quran: God’s Final Revelation (1)" ,By Aisha Stacey , None , Discover Islam , body --> main --> div --> section --> div --> div --> div --> div --> div --> div --> div --> a , None , https://islamonline.net/wp-content/uploads/2022/04/Quran-with-a-blue-cover--320x180.jpg , https://islamonline.net/en/the-quran-gods-final-revelation-part-1/
https://islamonline.net/en/home/," How Islam Deals with Sadness and Worry – Patience: An Important Virtue (2)" ,By Aisha Stacey , None , Discover Islam , body --> main --> div --> section --> div --> div --> div --> div --> div --> div --> div --> a , None, https://islamonline.net/wp-content/uploads/2022/12/Patience-and-growth--320x180.jpg , https://islamonline.net/en/how-islam-deals-with-sadness-and-worry-part-2-patience-an-important-virtue/
https://islamonline.net/en/home/, "Understanding Religion through Sport" ,By Ali Asadullah , None , Discover Islam , body --> main --> div --> section --> div --> div --> div --> div --> div --> div --> div --> a  , None, https://islamonline.net/wp-content/uploads/2022/10/Sport-track-religion-320x180.jpg , https://islamonline.net/en/understanding-religion-through-sport/ 
https://islamonline.net/en/home/, "Forming an Islamic Democracy" , By Sohaib N. Sultan,None , Discover Islam , body --> main --> div --> section --> div --> div --> div --> div --> div --> div --> div --> a ,None , https://islamonline.net/wp-content/uploads/2022/07/Picture-regulations--320x180.jpg , https://islamonline.net/en/forming-an-islamic-democracy/
